,"score","names_wiki","dates_wiki","names_googleart","dates_googleart","is_same","artist_id_wiki","artist_id_googleart","Unnamed: 9",,
54,100,"[andrea del castagno, andrea di bartolo di bargilla]","[1421, 1457]","[andrea di bartolo]","[1389, 1428]",0,"wiki_andrea-del-castagno","googleart_m0czdrnx",,,
55,100,"[artemisia gentileschi]","[1593, 1656]","[artemisia gentileschi]","[1593, 1653]","True","wiki_artemisia-gentileschi","googleart_m03bgcm",,,
56,100,"[banksy]","[1974, 2099]","[banksy]","[1981, 2099]",1,"wiki_banksy","googleart_m023b7b",,,
57,100,"[bartolomeo veneto]","[1480, 1530]","[bartolomeo veneto]","[1480, 1530]",1,"wiki_bartolomeo-veneto","googleart_m05zj8z3",,,
58,100,"[sam gilliam]","[1933, 2099]","[sam]","[1958, 2099]",0,"wiki_sam-gilliam","googleart_t218rckhfc8","(1953, 3784)",,
59,100,"[chu teh chun, chu teh-chun, 朱德群]","[1920, 2099]","[chu]","[2012.0, 2013.0]",0,"wiki_chu-teh-chun","googleart_t218rckdgwb","(370, 3586)",,
60,100,"[bencivieni di pepo (benvenuto di giuseppe) giovanni cimabue, cimabue]","[1251, 1302]","[cimabue]","[1240, 1302]","True","wiki_cimabue","googleart_m0205s","(375, 371)",,
61,100,"[clara peeters]","[1594, 1657]","[clara peeters]","[1612.0, 1650.0]",1,"wiki_clara-peeters","googleart_m0266vrh","(376, 432)",,
62,100,"[cope2, fernando carlo]","[1968, 2099]","[cope2]","[2008.0, 2015.0]",1,"wiki_cope2","googleart_t218rckdk86","(403, 3589)",,
63,100,"[enzo cucchi]","[1949, 2099]","[enzo]","[2010.0, 2011.0]",0,"wiki_enzo-cucchi","googleart_t218rckf0_h",,,
64,100,"[futura 2000, leonard mcgurr]","[1955, 2099]","[futura]","[1981.0, 2014.0]",1,"wiki_futura-2000","googleart_t218rckf5dh",,,
65,100,"[jean-françois perroy, jef aerosol]","[1957, 2099]","[jef aerosol]","[2010.0, 2012.0]",1,"wiki_jef-aerosol","googleart_t218rckfm4y",,,
66,100,"[johnny warangkula tjupurrula]","[1925, 2001]","[johnny warangkula tjupurrula]","[1918, 2001]",1,"wiki_johnny-warangkula-tjupurrula","googleart_g122blpzj",,,
67,100,"[john andrew perello, jonone]","[1963, 2099]","[jonone]","[2014.0, 2014.0]",1,"wiki_jonone","googleart_t2194x6w58s",,,
68,100,"[manuel rivera, manuel rivera hernández]","[1927, 1995]","[manuel rivera]","[1927, 1955]",1,"wiki_manuel-rivera","googleart_m0vs9tq6",,,
69,100,"[martha diamond]","[1944, 2099]","[diamond]","[2012.0, 2012.0]",0,"wiki_martha-diamond","googleart_t2194x6s3kt",,,
70,100,"[william shayer, william shayer the elder]","[1788, 1879]","[william j. shayer]","[1811, 1885]",0,"wiki_william-shayer","googleart_m0t50cmh",,,
71,100,"[nam june paik, 백남준]","[1932, 2006]","[nam june paik]","[1932, 2006]","True","wiki_nam-june-paik","googleart_m0135lv","(138, 1604)",,
72,100,"[enrico prampolini]","[1894, 1956]","[enrico prampolini]","[1894, 1956]","True","wiki_enrico-prampolini","googleart_m04y7cfc","(1588, 556)",,
73,100,"[joshua johnson]","[1763, 1824]","[joshua johnson]","[1763, 1832]","True","wiki_joshua-johnson","googleart_m052g5x","(1643, 1222)",,
74,100,"[kenny scharf]","[1958, 2099]","[kenny scharf]","[1958, 2099]","True","wiki_kenny-scharf","googleart_m08r5qp","(2317, 1292)",,
75,100,"[bruce nauman]","[1941, 2099]","[bruce nauman]","[1941, 2099]","True","wiki_bruce-nauman","googleart_m0d97b","(2740, 286)",,
76,100,"[ding yanyong]","[1902, 1978]","[ding yanyong]","[1902, 1978]","True","wiki_ding-yanyong","googleart_m0t502fl","(3123, 466)",,
77,86,"[roy fox lichtenstein, roy lichtenstein]","[1923, 1997]","[eva lichtenstein]","[1914.0, 1919.0]",0,"wiki_roy-lichtenstein","googleart_m0t50c17","(3203, 1933)",,
78,100,"[paul revere]","[1734, 1818]","[paul revere, jr.]","[1734, 1818]","True","wiki_paul-revere","googleart_m0vs9v8h","(3469, 1731)",,
79,100,"[abanindranath tagore, c.i.e. Zemindar v. Shazadpur, tagore, abanindra nath, tagore, abanindranath]","[1871, 1951]","[abanindranath tagore, c.i.e. zemindar v. shazadpur, tagore, abanindra nath, tagore, abanindranath]","[1871, 1951]",1,"wiki_abanindranath-tagore","googleart_m0632pc",,,
80,100,"[ai weiwei]","[1957, 2099]","[ai weiwei]","[1957, 2099]",1,"wiki_ai-weiwei","googleart_m0278dyq",,,
81,82,"[alan charlton]","[1948, 2099]","[alan chan]","[1952, 2099]",0,"wiki_alan-charlton","googleart_m0vs9qx0",,,
82,100,"[albert pinkham ryder, ryder, albert p., ryder, albert pinkham]","[1847, 1917]","[albert pinkham ryder, ryder, albert p., ryder, albert pinkham]","[1847, 1917]",1,"wiki_albert-pinkham-ryder","googleart_m037_rg",,,
83,78,"[alexander pope, alexander pope, jr.]","[1849, 1924]","[john white alexander]","[1856, 1915]",0,"wiki_alexander-pope","googleart_m06_f30",,,
84,100,"[agnolo, andrea d', andrea d'agnolo, andrea d'agnolo di francesco, andrea d'agnolo di francesco di luca di paolo del migliore, andrea d'angiolo, andrea del sarto, andrea di angeli di francesco, andrea di angelo di francesco, andrea vannuahi, andrea vannucci, sarto, andrea del]","[1486, 1530]","[agnolo, andrea d', andrea d'agnolo, andrea d'agnolo di francesco, andrea d'angiolo, andrea del sarto, andrea di angeli di francesco, andrea di angelo di francesco, andrea vannuahi, andrea vannucci, sarto, andrea del]","[1486, 1530]",1,"wiki_andrea-del-sarto","googleart_m0d936",,,
85,100,"[aristide joseph bonaventure maillol, aristide maillol]","[1861, 1944]","[aristide maillol]","[1861, 1944]",1,"wiki_aristide-maillol","googleart_m0wfr",,,
86,100,"[armand guillaumin, guillaumin, armand, guillaumin, jean baptiste armand, guillaumin, jean-bapt. armand, guillaumin, jean-baptist-armand, guillaumin, jean-baptiste a., guillaumin, jean-baptiste armand, guillaumin, jean-baptiste-armand, jean-baptiste armand guillaumin]","[1841, 1927]","[armand guillaumin, guillaumin, armand, guillaumin, jean baptiste armand, guillaumin, jean-bapt. armand, guillaumin, jean-baptist-armand, guillaumin, jean-baptiste a., guillaumin, jean-baptiste armand, guillaumin, jean-baptiste-armand]","[1841, 1927]",1,"wiki_armand-guillaumin","googleart_m052_c9",,,
