,score,names_wiki+googleart+wga+meisterwerke,dates_wiki+googleart+wga+meisterwerke,names_moma,dates_moma,is_same,artist_id_wiki+googleart+wga+meisterwerke,artist_id_moma,idx,total_works_count,year_diff
71.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri lebasque],"[1865, 1947]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-lebasque-40746,"(949, 4404)",410.0,"[5, 4]"
62.0,100.0,"[henri-martin, martin, henri, henri, martin, henri jean guillaume, henri-jean guillaume martin, henri martin, martin, henri-jean-guillaume]","[1860, 1943]",[henri evenepoel],"[1872, 1899]",0,"wga_martin, henri-jean-guillaume, (1860-1943)",moma_mdvt-henri-evenepoel-1779,"(949, 4391)",409.0,"[12, 44]"
283.0,100.0,"[regnault, henri]","[1843, 1871]",[henri-victor regnault],"[1810, 1878]",0,"wga_regnault, henri, (1843-1871)",moma_mdvt-henri-victor-regnault-7904,"(8012, 4414)",5.0,"[33, 7]"
88.0,97.0,"[rippl-ronai, jozsef, rippl-rónai, józsef, jozsef rippl-ronai, józsef rippl-rónai]","[1861, 1927]",[jozsef rippl-rónai],"[1894.0, 1894.0]",1,"wga_rippl-rónai, józsef, (1861-1927)",moma_mdvt-jozsef-rippl-rónai-4935,"(1292, 5928)",127.0,"[33.0, 33.0]"
6.0,100.0,"[anders leonard zorn, zorn, anders, anders zorn]","[1860, 1920]",[anders zorn],"[1892.0, 1892.0]",1,"wga_zorn, anders, (1860-1920)",moma_mdvt-anders-zorn-6584,"(132, 537)",169.0,"[32.0, 28.0]"
0.0,100.0,"[robert del naja, 3d]","[1966, 2099]",[robert del naja],"[1965, 2099]",1,wiki_3d,moma_mdvt-robert-del-naja-32475,"(0, 9403)",10.0,"[1, 0]"
1.0,100.0,"[adolf richard fleischmann, adolf fleischmann]","[1892, 1968]",[adolf richard fleischmann],"[1892, 1969]",1,wiki_adolf-fleischmann,moma_mdvt-adolf-richard-fleischmann-1913,"(16, 105)",26.0,"[0, 1]"
2.0,100.0,[alberto gironella],"[1929, 1999]",[alberto gironella],"[1929, 2099]",1,wiki_alberto-gironella,moma_mdvt-alberto-gironella-2177,"(63, 246)",22.0,"[0, 100]"
3.0,100.0,[alberto magnelli],"[1888, 1970]",[alberto magnelli],"[1888, 1971]",1,wiki_alberto-magnelli,moma_mdvt-alberto-magnelli-3690,"(64, 248)",35.0,"[0, 1]"
5.0,100.0,"[ali omar ermes, علي عمر الرميص]","[1945, 2099]",[ali],"[1956, 2099]",0,wiki_ali-omar-ermes,moma_mdvt-ali-6837,"(107, 422)",15.0,"[11, 0]"
7.0,100.0,"[sir anthony alfred caro, om, cbe, anthony caro]","[1924, 2099]",[anthony caro],"[1924, 2013]",1,wiki_anthony-caro,moma_mdvt-anthony-caro-982,"(169, 695)",0.0,"[0, 86]"
8.0,85.0,"[antonio areal, antónio santiago gonçalves areal e silva]","[1934, 1978]",[antonio saura],"[1930, 1998]",0,wiki_antonio-areal,moma_mdvt-antonio-saura-5181,"(180, 762)",42.0,"[4, 20]"
11.0,100.0,"[ay-o, iijima, ay-o (靉嘔); takao iijima, ai-ō, ai ō, takao, takao, iijima, iijima takao]","[1931, 2099]",[ai weiwei],"[1957, 2099]",0,wiki_ay-o,moma_mdvt-ai-weiwei-34722,"(240, 149)",11.0,"[26, 0]"
10.0,100.0,"[ay-o, iijima, ay-o (靉嘔); takao iijima, ai-ō, ai ō, takao, takao, iijima, iijima takao]","[1931, 2099]",[takao sasai],"[1956, 2099]",0,wiki_ay-o,moma_mdvt-takao-sasai-5170,"(240, 10465)",11.0,"[25, 0]"
12.0,100.0,"[ay-o, iijima, ay-o (靉嘔); takao iijima, ai-ō, ai ō, takao, takao, iijima, iijima takao]","[1931, 2099]",[takao yamada],"[1938, 2099]",0,wiki_ay-o,moma_mdvt-takao-yamada-6480,"(240, 10466)",11.0,"[7, 0]"
25.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben sakoguchi],"[1938, 2099]",0,wiki_ben,moma_mdvt-ben-sakoguchi-5119,"(262, 1078)",19.0,"[3, 0]"
22.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben langlands],"[1955, 2099]",0,wiki_ben,moma_mdvt-ben-langlands-14137,"(262, 1073)",19.0,"[20, 0]"
24.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben affleck],"[1972, 2099]",0,wiki_ben,moma_mdvt-ben-affleck-46860,"(262, 1062)",19.0,"[37, 0]"
13.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben johnston],"[1926, 2099]",0,wiki_ben,moma_mdvt-ben-johnston-47775,"(262, 1069)",19.0,"[9, 0]"
14.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben drury],"[1972, 2099]",0,wiki_ben,moma_mdvt-ben-drury-47286,"(262, 1064)",19.0,"[37, 0]"
15.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben katchor],"[1951, 2099]",0,wiki_ben,moma_mdvt-ben-katchor-43521,"(262, 1070)",19.0,"[16, 0]"
16.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben fry],"[1975, 2099]",0,wiki_ben,moma_mdvt-ben-fry-32964,"(262, 1067)",19.0,"[40, 0]"
17.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben van berkel],"[1957, 2099]",0,wiki_ben,moma_mdvt-ben-van-berkel-7529,"(262, 1082)",19.0,"[22, 0]"
18.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben faydherbe],"[1958, 2099]",0,wiki_ben,moma_mdvt-ben-faydherbe-7601,"(262, 1066)",19.0,"[23, 0]"
19.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[guy ben-ner],"[1969, 2099]",0,wiki_ben,moma_mdvt-guy-ben-ner-35516,"(262, 4084)",19.0,"[34, 0]"
20.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[zadok ben-david],"[1949, 2099]",0,wiki_ben,moma_mdvt-zadok-ben-david-40912,"(262, 11607)",19.0,"[14, 0]"
21.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben schonzeit],"[1942, 2099]",0,wiki_ben,moma_mdvt-ben-schonzeit-5262,"(262, 1079)",20.0,"[7, 0]"
26.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben johnson],"[1946, 2099]",0,wiki_ben,moma_mdvt-ben-johnson-48318,"(262, 1068)",20.0,"[11, 0]"
23.0,100.0,"[benjamin vautier, ben]","[1935, 2099]",[ben kinmont],"[1963, 2099]",0,wiki_ben,moma_mdvt-ben-kinmont-41829,"(262, 1071)",30.0,"[28, 0]"
28.0,84.0,[bernard aubertin],"[1934, 2099]",[bernard joubert],"[1946, 2099]",0,wiki_bernard-aubertin,moma_mdvt-bernard-joubert-2946,"(272, 1136)",14.0,"[12, 0]"
27.0,84.0,[bernard aubertin],"[1934, 2099]",[bernard quentin],"[1923, 2099]",0,wiki_bernard-aubertin,moma_mdvt-bernard-quentin-4769,"(272, 1141)",14.0,"[11, 0]"
29.0,100.0,[bernard schultze],"[1915, 2005]",[bernard schultze],"[1915, 1973.0]",1,wiki_bernard-schultze,moma_mdvt-bernard-schultze-5275,"(275, 1145)",20.0,"[0, 32.0]"
31.0,100.0,[bradley walker tomlin],"[1899, 1955]",[bradley walker tomlin],"[1899, 1953]",1,wiki_bradley-walker-tomlin,moma_mdvt-bradley-walker-tomlin-5896,"(299, 1321)",24.0,"[0, 2]"
32.0,100.0,"[van velde, bram, bram abraham gerardus van velde, velde, abraham gerardus van, velde, a. g. van, bram van velde, velde, abraham g. van, velde, bram van]","[1892, 1981]",[bram van velde],"[1895, 1981]",1,wiki_bram-van-velde,moma_mdvt-bram-van-velde-6124,"(301, 1322)",24.0,"[3, 0]"
33.0,100.0,"[camille bryen, camille briand]","[1907, 1977]",[camille bryen],"[1907, 1976]",1,wiki_camille-bryen,moma_mdvt-camille-bryen-837,"(316, 1452)",24.0,"[0, 1]"
34.0,100.0,[carmen herrera],"[1915, 2009.0]",[carmen herrera],"[1915, 1952.0]",1,wiki_carmen-herrera,moma_mdvt-carmen-herrera-30075,"(340, 1555)",17.0,"[0, 57.0]"
35.0,89.28,"[russell, charles m., charles m. russell, charles marion russell, russell, charles marion, charles marion]","[1863, 1926]",[charles maurin],"[1856, 1914]",0,wiki_charles-m-russell,moma_mdvt-charles-maurin-3856,"(365, 1697)",403.0,"[7, 12]"
36.0,85.0,[charles robinson],"[1870, 1937]",[charles hopkinson],"[1869, 1962]",0,wiki_charles-robinson,moma_mdvt-charles-hopkinson-2725,"(370, 1676)",44.0,"[1, 25]"
347.0,85.0,[christopher willard],"[1960, 2099]",[christopher orr],"[1967, 2099]",0,wiki_christopher-willard,moma_mdvt-christopher-orr-28745,"(1840, 390)",12.0,"[7, 0]"
37.0,87.0,[christopher willard],"[1960, 2099]",[christopher williams],"[1956, 2099]",0,wiki_christopher-willard,moma_mdvt-christopher-williams-28858,"(390, 1844)",34.0,"[4, 0]"
38.0,100.0,"[beverloo, cornelis van, beverloo, corneille guillaume, corneille, guillaume cornelis van beverloo, corneille, cornélis van beverloo]","[1922, 2010]",[corneille hannoset],"[1926, 1997]",0,wiki_corneille,moma_mdvt-corneille-hannoset-43696,"(432, 1995)",39.0,"[4, 13]"
354.0,88.0,[daniel buren],"[1938, 2099]",[daniel burman],"[1973, 2099]",0,wiki_daniel-buren,moma_mdvt-daniel-burman-35993,"(2102, 456)",7.0,"[35, 0]"
39.0,100.0,"[desmond morris, desmond john morris]","[1928, 2099]",[john morris],"[1965, 2099]",0,wiki_desmond-morris,moma_mdvt-john-morris-8320,"(489, 5641)",40.0,"[37, 0]"
40.0,87.0,[dieter asmus],"[1939, 2099]",[dieter rams],"[1932, 2099]",0,wiki_dieter-asmus,moma_mdvt-dieter-rams-8451,"(492, 2401)",16.0,"[7, 0]"
43.0,100.0,[emil schumacher],"[1912, 1999]",[emil schumacher],"[1912, 1973.0]",1,wiki_emil-schumacher,moma_mdvt-emil-schumacher-5277,"(575, 2841)",26.0,"[0, 26.0]"
376.0,86.0,"[emile bernard, émile bernard, bernard, émile, émile henri bernard]","[1868, 1941]",[emile branchard],"[1881, 1938]",0,wiki_emile-bernard,moma_mdvt-emile-branchard-737,"(2842, 576)",41.0,"[13, 3]"
44.0,100.0,[emilio scanavino],"[1922, 1986]",[emilio scanavino],"[1922, 2099]",1,wiki_emilio-scanavino,moma_mdvt-emilio-scanavino-5193,"(581, 2857)",29.0,"[0, 113]"
45.0,100.0,[ernst fuchs],"[1930, 2099]",[ernst fuchs],"[1930, 2015]",1,wiki_ernst-fuchs,moma_mdvt-ernst-fuchs-2021,"(603, 3002)",64.0,"[0, 84]"
46.0,100.0,"[eugène samuel grasset, eugène grasset]","[1845, 1917]",[eugène grasset],"[1841, 1917]",1,wiki_eug-ne-grasset,moma_mdvt-eugène-grasset-2301,"(615, 3093)",57.0,"[4, 0]"
47.0,100.0,"[fab-5-freddy, fab 5 freddy, fab 5, braithwaite, fred, fred brathwaite]","[1958, 2099]",[fred],"[1956, 2099]",0,wiki_fab-5-freddy,moma_mdvt-fred-6838,"(630, 3442)",10.0,"[2, 0]"
49.0,100.0,"[frank helmut auerbach, frank auerbach]","[1931, 2099]",[frank auerbach],"[1931, 1939]",1,wiki_frank-auerbach,moma_mdvt-frank-auerbach-240,"(687, 3341)",54.0,"[0, 160]"
50.0,100.0,[frank lobdell],"[1921, 2013]",[frank lobdell],"[1921, 2099]",1,wiki_frank-lobdell,moma_mdvt-frank-lobdell-3576,"(692, 3365)",43.0,"[0, 86]"
51.0,100.0,"[frederick john eversley, fred eversley]","[1941, 2099]",[fred],"[1956, 2099]",0,wiki_fred-eversley,moma_mdvt-fred-6838,"(703, 3442)",1.0,"[15, 0]"
52.0,100.0,[gandy brodie],"[1924, 1975]",[gandy brodie],"[1925, 1975]",1,wiki_gandy-brodie,moma_mdvt-gandy-brodie-787,"(739, 3567)",23.0,"[1, 0]"
53.0,84.0,"[george henry, brown, george henry alan, brown, george h. a.]","[1862, 1935.0]",[henry george keller],"[1869, 1949]",0,wiki_george-henry,moma_mdvt-henry-george-keller-3042,"(759, 4429)",38.0,"[7, 14.0]"
397.0,89.0,"[lemmen, georges, georges lemmen]","[1865, 1916]",[georges demenÿ],"[1850, 1917]",0,wiki_georges-lemmen,moma_mdvt-georges-demenÿ-7839,"(3727, 778)",34.0,"[15, 1]"
54.0,100.0,[germaine richier],"[1902, 1959]",[germaine richier],"[1904, 1959]",1,wiki_germaine-richier,moma_mdvt-germaine-richier-4905,"(797, 3788)",11.0,"[2, 0]"
55.0,100.0,[giulio turcato],"[1912, 1995]",[giulio turcato],"[1912, 1922]",1,wiki_giulio-turcato,moma_mdvt-giulio-turcato-5972,"(838, 3893)",36.0,"[0, 73]"
56.0,100.0,[gottfried honegger],"[1917, 2003.0]",[gottfried honegger],"[1917, 2016]",1,wiki_gottfried-honegger,moma_mdvt-gottfried-honegger-2719,"(850, 3962)",20.0,"[0, 13.0]"
57.0,100.0,[gustav metzger],"[1926, 2099]",[gustav metzger],"[1926, 2017]",1,wiki_gustav-metzger,moma_mdvt-gustav-metzger-43107,"(881, 4072)",1.0,"[0, 82]"
58.0,100.0,[gustave singier],"[1909, 1984]",[gustave singier],"[1926.0, 1953.0]",1,wiki_gustave-singier,moma_mdvt-gustave-singier-5448,"(890, 4079)",46.0,"[17.0, 31.0]"
59.0,100.0,"[gyula kosice, fernando fallik]","[1924, 2099]",[gyula kosice (fernando fallik)],"[1924, 2016]",1,wiki_gyula-kosice,moma_mdvt-gyula-kosice-(fernando-fallik)-27446,"(895, 4101)",3.0,"[0, 83]"
60.0,87.0,"[sir hans heysen, obe (wilhelm ernst hans franz heysen), hans heysen]","[1877, 1968]",[ernst wilhelm nay],"[1902, 1968]",0,wiki_hans-heysen,moma_mdvt-ernst-wilhelm-nay-4245,"(909, 3016)",41.0,"[25, 0]"
61.0,93.0,"[hassan massoudy (حسن المسعود الخطاط), hassan massoudy]","[1944, 2099]",[massoud hassani],"[1983, 2099]",0,wiki_hassan-massoudy,moma_mdvt-massoud-hassani-41822,"(921, 7484)",19.0,"[39, 0]"
72.0,84.0,"[hiro yamagata, 山形 博導]","[1948, 2099]",[yo yamagata],"[1962, 2099]",0,wiki_hiro-yamagata,moma_mdvt-yo-yamagata-22838,"(975, 11538)",91.0,"[14, 0]"
73.0,100.0,[horia damian],"[1922, 2012]",[horia damian],"[1922, 2099]",1,wiki_horia-damian,moma_mdvt-horia-damian-1369,"(990, 4565)",19.0,"[0, 87]"
74.0,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]",[alex j. ettl],"[1898, 1992]",0,wiki_hovhannes-zardaryan,moma_mdvt-alex-j.-ettl-1768,"(991, 313)",5.0,"[20, 19.0]"
75.0,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]",[jan j. schoonhoven],"[1914, 1994]",0,wiki_hovhannes-zardaryan,moma_mdvt-jan-j.-schoonhoven-5266,"(991, 5034)",15.0,"[4, 21.0]"
80.0,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]",[davis j. pratt],"[1917, 1987]",0,wiki_hovhannes-zardaryan,moma_mdvt-davis-j.-pratt-4723,"(991, 2295)",5.0,"[1, 14.0]"
79.0,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]",[paul j. smith],"[1906, 1980]",0,wiki_hovhannes-zardaryan,moma_mdvt-paul-j.-smith-41929,"(991, 8564)",5.0,"[12, 7.0]"
77.0,100.0,"[hovhannes zardaryan, հովհաննես զարդարjան]","[1918, 1973.0]",[fredrick j. whiteman],"[1909, 1997]",0,wiki_hovhannes-zardaryan,moma_mdvt-fredrick-j.-whiteman-6741,"(991, 3463)",5.0,"[9, 24.0]"
