,score,names_wga,dates_wga,names_artuk,dates_artuk,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma,artist_id_artuk,Unnamed: 9,Unnamed: 10,Unnamed: 11
1128,85.14,"[jan van de velde, velde, jan van de, ii]","[1593, 1641]","[van de velde i, esaias]","[1587, 1630]",0,"wga_velde, jan van de, ii, (1593-1641)","artuk_van de velde i, esaias, (1587-1630)","(3270, 5969)",148.0,"[6, 11]"
1129,100.0,"[verboeckhoven, eugene joseph, verboeckhoven, e. and ortman, verbeckhoven, e., verboeckhoven, e. and bodeman, verboeckhoven, eugène-joseph, verboeckhoven, eugène, verboeckhoven, e., verboeckhoven, eugène joseph, verboeckhoven, eugeen joseph]","[1798, 1881]","[bodeman, bodeman, w., bodeman, willem, bodemann, willem, verboeckhoven, e. and bodeman]","[1806, 1880]",0,"wga_verboeckhoven, eugène-joseph, (1798-1881)","artuk_bodemann, willem, (1806-1880)","(8634, 507)",3.0,"[8, 1]"
1130,93.0,"[verboeckhoven, louis-charles]","[1802, 1889]","[verbeckhoven, e., verboeckhoven, e., verboeckhoven, e. and bodeman, verboeckhoven, e. and ortman, verboeckhoven, eugeen joseph, verboeckhoven, eugene joseph, verboeckhoven, eugène, verboeckhoven, eugène joseph, verboeckhoven, eugène-joseph]","[1798, 1881]",0,"wga_verboeckhoven, louis-charles, (1802-1889)","artuk_verboeckhoven, eugène joseph, (1798-1881)","(8635, 6094)",37.0,"[4, 8]"
1131,100.0,"[verboom, adriaen hendricksz.]","[1628, 1673]","[akerboom, adriaen hendriksz., boom, a. h. v., boom, a. van, boon, a. v., ver boom, adriaen hendricksz., verboom, abraham, verboom, adriaen, verboom, adriaen hendricksz., verboom, adriaen hendriksz., verbooms, abraham]","[1628, 1670]",1,"wga_verboom, adriaen hendricksz., (1628-1673)","artuk_verboom, adriaen hendricksz., (1628-1670)","(8636, 6095)",4.0,"[0, 3]"
1132,90.0,"[verelst, william]","[1732, 1756]","[verelst, willem]","[1700, 1756]",1,"wga_verelst, william, (1732-1756)","artuk_verelst, willem, (1700-1756)","(8644, 6100)",11.0,"[32, 0]"
1133,97.0,"[david vinckboons, vinckboons, david]","[1576, 1633]","[vinckeboons, david]","[1576, 1632]",1,"wga_vinckboons, david, (1576-1633)","artuk_vinckeboons, david, (1576-1632)","(3842, 6117)",71.0,"[0, 1]"
1134,87.0,"[vois, arie de]","[1630, 1680]","[de vois, ary]","[1632, 1680]",1,"wga_vois, arie de, (1630-1680)","artuk_de vois, ary, (1632-1680)","(8711, 1549)",10.0,"[2, 0]"
1135,100.0,"[vries, roelof van]","[1630, 1681]","[van vries, roelof]","[1631, 1681]",1,"wga_vries, roelof van, (1630-1681)","artuk_van vries, roelof, (1631-1681)","(8724, 6067)",11.0,"[1, 0]"
1136,100.0,"[vroom, hendrick cornelisz., hendrick cornelisz vroom]","[1562, 1640]","[vroom, hendrick cornelisz.]","[1566, 1640]",1,"wga_vroom, hendrick cornelisz., (1566-1640)","artuk_vroom, hendrick cornelisz., (1566-1640)","(906, 6142)",40.0,"[4, 0]"
1137,100.0,"[waitt, richard]","[1706, 1732]","[waitt, richard]","[1710.0, 1732]",1,"wga_waitt, richard, (1706-1732)","artuk_waitt, richard, (d.1732)","(8728, 6161)",15.0,"[4.0, 0]"
