,"score","names_wiki","dates_wiki","names_googleart","dates_googleart","is_same","artist_id_wiki","artist_id_googleart","Unnamed: 9"
64,100,"[futura 2000, leonard mcgurr]","[1955, 2099]","[futura]","[1981.0, 2014.0]",1,"wiki_futura-2000","googleart_t218rckf5dh",
65,100,"[jean-françois perroy, jef aerosol]","[1957, 2099]","[jef aerosol]","[2010.0, 2012.0]",1,"wiki_jef-aerosol","googleart_t218rckfm4y",
66,100,"[johnny warangkula tjupurrula]","[1925, 2001]","[johnny warangkula tjupurrula]","[1918, 2001]",1,"wiki_johnny-warangkula-tjupurrula","googleart_g122blpzj",
67,100,"[john andrew perello, jonone]","[1963, 2099]","[jonone]","[2014.0, 2014.0]",1,"wiki_jonone","googleart_t2194x6w58s",
68,100,"[manuel rivera, manuel rivera hernández]","[1927, 1995]","[manuel rivera]","[1927, 1955]",1,"wiki_manuel-rivera","googleart_m0vs9tq6",
69,100,"[martha diamond]","[1944, 2099]","[diamond]","[2012.0, 2012.0]",0,"wiki_martha-diamond","googleart_t2194x6s3kt",
70,100,"[william shayer, william shayer the elder]","[1788, 1879]","[william j. shayer]","[1811, 1885]",0,"wiki_william-shayer","googleart_m0t50cmh",
71,100,"[nam june paik, 백남준]","[1932, 2006]","[nam june paik]","[1932, 2006]","True","wiki_nam-june-paik","googleart_m0135lv","(138, 1604)"
72,100,"[enrico prampolini]","[1894, 1956]","[enrico prampolini]","[1894, 1956]","True","wiki_enrico-prampolini","googleart_m04y7cfc","(1588, 556)"
73,100,"[joshua johnson]","[1763, 1824]","[joshua johnson]","[1763, 1832]","True","wiki_joshua-johnson","googleart_m052g5x","(1643, 1222)"
74,100,"[kenny scharf]","[1958, 2099]","[kenny scharf]","[1958, 2099]","True","wiki_kenny-scharf","googleart_m08r5qp","(2317, 1292)"
75,100,"[bruce nauman]","[1941, 2099]","[bruce nauman]","[1941, 2099]","True","wiki_bruce-nauman","googleart_m0d97b","(2740, 286)"
76,100,"[ding yanyong]","[1902, 1978]","[ding yanyong]","[1902, 1978]","True","wiki_ding-yanyong","googleart_m0t502fl","(3123, 466)"
77,86,"[roy fox lichtenstein, roy lichtenstein]","[1923, 1997]","[eva lichtenstein]","[1914.0, 1919.0]","0","wiki_roy-lichtenstein","googleart_m0t50c17","(3203, 1933)"
78,100,"[paul revere]","[1734, 1818]","[paul revere, jr.]","[1734, 1818]","True","wiki_paul-revere","googleart_m0vs9v8h","(3469, 1731)"
