,"score","names_wiki+googleart+wga","dates_wiki+googleart+wga","names_meisterwerke","dates_meisterwerke","is_same","artist_id_wiki+googleart+wga","artist_id_meisterwerke","idx","total_works_count","year_diff"
1238,100,"[richter, louis, richter, adrian, richter, ludwig, richter, ludwig adrian, richter, adrian ludwig, adrian ludwig richter]","[1803, 1884]","[richter, gustav carl ludwig]","[1850.0, 1850.0]",0,"wga_richter, adrian ludwig, (1803-1884)","meisterwerke_richter, gustav carl ludwig",,,
1239,100,"[riepenhausen, franz]","[1786, 1831]","[riepenhausen, franz]","[1820.0, 1820.0]",1,"wga_riepenhausen, franz, (1786-1831)","meisterwerke_riepenhausen, franz",,,
1240,94,"[pieter cornelisz van rijck, rijck, pieter cornelisz van]","[1567, 1637]","[ryck, pieter cornelisz. van]","[1628.0, 1628.0]",1,"wga_rijck, pieter cornelisz van, (1568-1628)","meisterwerke_ryck, pieter cornelisz. van",,,
1241,88,"[ring, ludger tom, the younger]","[1522, 1583]","[ring d. j., ludger tom]","[1562.0, 1566.0]",1,"wga_ring, ludger tom, the younger, (1522-1583)","meisterwerke_ring d. j., ludger tom",,,
1242,100,"[ring, pieter de]","[1615, 1660]","[ring, pieter de]","[1650.0, 1650.0]",1,"wga_ring, pieter de, (1615-1660)","meisterwerke_ring, pieter de",,,
1243,96,"[robert, léopold]","[1794, 1835]","[robert, leopold]","[1822.0, 1822.0]",1,"wga_robert, léopold, (1794-1835)","meisterwerke_robert, leopold",,,
1244,100,"[rode, bernhard]","[1725, 1797]","[rode, christian bernhard]","[1785.0, 1785.0]",1,"wga_rode, bernhard, (1725-1797)","meisterwerke_rode, christian bernhard",,,
1245,88,"[roehn, adolphe-eugène-gabriel]","[1780, 1867]","[gabriel, c.]","[1820.0, 1820.0]",0,"wga_roehn, adolphe-eugène-gabriel, (1780-1867)","meisterwerke_gabriel, c.",,,
1246,100,"[anton romako, romako, anton]","[1832, 1889]","[romako, anton]","[1871.0, 1880.0]",1,"wga_romako, anton, (1832-1889)","meisterwerke_romako, anton",,,
1247,91,"[roussel, theodore]","[1847, 1926]","[rousseau, theodore]","[1848.0, 1852.0]",0,"wga_roussel, theodore, (1847-1926)","meisterwerke_rousseau, theodore",,,
1248,100,"[ruthart, carl borromäus andreas]","[1630, 1703]","[ruthart, carl andreas]","[1660.0, 1660.0]",1,"wga_ruthart, carl borromäus andreas, (1630-1703)","meisterwerke_ruthart, carl andreas",,,
1249,97,"[sabatini, lorenzo]","[1520, 1576]","[sabbatini, lorenzo]","[1550.0, 1550.0]",1,"wga_sabatini, lorenzo, (1520-1576)","meisterwerke_sabbatini, lorenzo",,,
1250,100,"[samostrzelnik, stanislaw]","[1490, 1541]","[samostrzelnik, stanislaw]","[1535.0, 1535.0]",1,"wga_samostrzelnik, stanislaw, (1490-1541)","meisterwerke_samostrzelnik, stanislaw",,,
1251,100,"[maso da san friano, san friano, maso da, manzuoli, tommaso, maso da s. friano, manzuoli, tommaso d'antonio]","[1531, 1571]","[manzuoli, tommaso d'antonio]","[1571.0, 1571.0]",1,"wga_san friano, maso da, (1531-1571)","meisterwerke_manzuoli, tommaso d'antonio",,,
1252,100,"[sanchez, pedro]","[1400, 1500]","[sanchez de castro, pedro]","[1450.0, 1450.0]",1,"wga_sanchez, pedro, (1400-1500)","meisterwerke_sanchez de castro, pedro",,,
1253,100,"[schaffner, martin]","[1477, 1549]","[schaffner, martin]","[1530.0, 1530.0]",1,"wga_schaffner, martin, (1477-1549)","meisterwerke_schaffner, martin",,,
1254,100,"[schick, christian gottlieb]","[1776, 1812]","[schick, christian gottlieb]","[1800.0, 1806.0]",1,"wga_schick, christian gottlieb, (1776-1812)","meisterwerke_schick, christian gottlieb",,,
1255,90,"[schultz, daniel ii]","[1615, 1683]","[schultz d. j., daniel]","[1664.0, 1664.0]",1,"wga_schultz, daniel ii, (1615-1683)","meisterwerke_schultz d. j., daniel",,,
1256,100,"[schut, cornelis iii]","[1629, 1685]","[schut, cornelis]","[1637.0, 1637.0]",0,"wga_schut, cornelis iii, (1629-1685)","meisterwerke_schut, cornelis",,,
1257,81,"[scrots, guillaume]","[1537, 1553]","[cretin, guillaume]","[1550.0, 1550.0]",0,"wga_scrots, guillaume, (1537-1553)","meisterwerke_cretin, guillaume",,,
1258,100,"[seybold, christian]","[1690, 1768]","[seybold, christian]","[1735.0, 1735.0]",1,"wga_seybold, christian, (1690-1768)","meisterwerke_seybold, christian",,,
1259,80,"[signorelli, francesco]","[1495, 1553]","[signorelli, luca]","[1490.0, 1550.0]",0,"wga_signorelli, francesco, (1495-1553)","meisterwerke_signorelli, luca",,,
1260,100,"[skarbina, franz]","[1849, 1910]","[skarbina, franz]","[1894.0, 1910.0]",1,"wga_skarbina, franz, (1849-1910)","meisterwerke_skarbina, franz",,,
1261,92,"[soreau, isaak]","[1604, 1645]","[soreau, isaac]","[1640.0, 1640.0]",1,"wga_soreau, isaak, (1604-1645)","meisterwerke_soreau, isaac",,,
1262,100,"[spelt, adrian van der]","[1630, 1673]","[spelt, adrian van der]","[1658.0, 1658.0]",1,"wga_spelt, adrian van der, (1630-1673)","meisterwerke_spelt, adrian van der",,,
1263,97,"[stanis£awski, jan]","[1860, 1907]","[stanislawski, jan]","[1900.0, 1900.0]",1,"wga_stanis£awski, jan, (1860-1907)","meisterwerke_stanislawski, jan",,,
1264,100,"[steenwijck, harmen]","[1612, 1656]","[steenwijck, harmen]","[1650.0, 1650.0]",1,"wga_steenwijck, harmen, (1612-1656)","meisterwerke_steenwijck, harmen",,,
1265,100,"[stieler, karl joseph]","[1781, 1858]","[stieler, joseph karl]","[1848.0, 1848.0]",1,"wga_stieler, karl joseph, (1781-1858)","meisterwerke_stieler, joseph karl",,,
1266,88,"[susini, francesco]","[1585, 1653]","[furini, francesco]","[1640.0, 1640.0]",0,"wga_susini, francesco, (1585-1653)","meisterwerke_furini, francesco",,,
1267,84,"[tischbein, johann friedrich august]","[1750, 1812]","[nagel, johann friedrich]","[1792.0, 1795.0]",0,"wga_tischbein, johann friedrich august, (1750-1812)","meisterwerke_nagel, johann friedrich",,,
1268,84,"[tischbein, johann friedrich august]","[1750, 1812]","[meyer, johann friedrich]","[1771.0, 1773.0]",0,"wga_tischbein, johann friedrich august, (1750-1812)","meisterwerke_meyer, johann friedrich",,,
1269,93,"[tischbein, johann heinrich the elder]","[1722, 1789]","[tischbein d. a., johann heinrich]","[1766.0, 1766.0]",1,"wga_tischbein, johann heinrich the elder, (1722-1789)","meisterwerke_tischbein d. a., johann heinrich",,,
1270,93,"[tischbein, johann heinrich the younger]","[1742, 1808]","[tischbein d. a., johann heinrich]","[1766.0, 1766.0]",0,"wga_tischbein, johann heinrich the younger, (1742-1808)","meisterwerke_tischbein d. a., johann heinrich",,,
1271,100,"[tito, santi di]","[1536, 1602]","[tito, santi di]","[1550.0, 1550.0]",1,"wga_tito, santi di, (1536-1602)","meisterwerke_tito, santi di",,,
1272,97,"[tournières, robert]","[1667, 1752]","[tournieres, robert]","[1727.0, 1727.0]",1,"wga_tournières, robert, (1667-1752)","meisterwerke_tournieres, robert",,,
1273,100,"[treck, jan jansz.]","[1606, 1652]","[treck, jan]","[1640.0, 1649.0]",1,"wga_treck, jan jansz., (1606-1652)","meisterwerke_treck, jan",,,
1274,88,"[trotti, giovanni battista]","[1555, 1619]","[moroni, giovanni battista]","[1560.0, 1575.0]",0,"wga_trotti, giovanni battista, (1555-1619)","meisterwerke_moroni, giovanni battista",,,
1275,83,"[trübner, wilhelm, wilhelm trübner, wilhelm trubner]","[1851, 1917]","[morgner, wilhelm]","[1909.0, 1914.0]",0,"wga_trübner, wilhelm, (1851-1917)","meisterwerke_morgner, wilhelm",,,
1276,95,"[töpffer, adam-wolfgang]","[1766, 1847]","[toepffer, wolfgang-adam]","[1814.0, 1814.0]",1,"wga_töpffer, adam-wolfgang, (1766-1847)","meisterwerke_toepffer, wolfgang-adam",,,
1277,100,"[ugolino-lorenzetti]","[1340, 1340]","[lorenzetti, ugolino]","[1350.0, 1350.0]",1,"wga_ugolino-lorenzetti, (1340-1340)","meisterwerke_lorenzetti, ugolino",,,
1278,100,"[unterberger, michelangelo]","[1695, 1758]","[unterberger, michelangelo]","[1757.0, 1757.0]",1,"wga_unterberger, michelangelo, (1695-1758)","meisterwerke_unterberger, michelangelo",,,
1279,90,"[valckenborch, frederik van]","[1566, 1623]","[valckenborch, friedrich van]","[1600.0, 1600.0]",1,"wga_valckenborch, frederik van, (1566-1623)","meisterwerke_valckenborch, friedrich van",,,
