,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wiki+googleart+wga+meisterwerke+moma","artist_id_artuk","Unnamed: 9","Unnamed: 10","Unnamed: 11"
1704,100,"[rombouts, gillis]","[1630, 1672]","[rombouts, gillis]","[1630, 1678]",1,"wga_rombouts, gillis, (1630-1672)","artuk_rombouts, gillis, (1630-1678)","(7999, 17366)",3,
1705,100,"[ruthart, carl borromäus andreas, ruthart, carl andreas]","[1630, 1706]","[ruthart, carl borromäus andreas]","[1630, 1703]",1,"wga_ruthart, carl borromäus andreas, (1630-1703)","artuk_ruthart, carl borromäus andreas, (1630-1703)","(8029, 17656)",5,
1706,100,"[régnier, nicolas, nicolas régnier, regnier, nicolas]","[1591, 1667]","[régnier, nicolas]","[1590, 1667]",1,"wga_régnier, nicolas, (1591-1667)","artuk_régnier, nicolas, (1590-1667)","(2706, 17700)",19,
1707,100,"[sabbatini, lorenzo, sabatini, lorenzo]","[1520, 1577]","[sabatini, lorenzo]","[1520, 1576]",1,"wga_sabatini, lorenzo, (1520-1576)","artuk_sabatini, lorenzo, (1520-1576)","(8037, 17716)",4,
1708,100,"[bevilacqua, ventura salimbeni, salimbeni, ventura]","[1567, 1613]","[salimbeni, ventura]","[1568, 1613]",1,"wga_salimbeni, ventura, (1568-1613)","artuk_salimbeni, ventura, (1568-1613)","(3901, 17756)",12,
1709,100,"[sanguigni, battista di biagio]","[1393, 1420.0]","[sanguigni, battista di biagio]","[1393, 1451]",1,"wga_sanguigni, battista di biagio, (1393-1393)","artuk_sanguigni, battista di biagio, (1393-1451)","(8065, 17832)",6,
1710,100,"[schönberger, lorenz adolf]","[1768, 1846]","[schönberger, lorenz adolf]","[1768, 1847]",1,"wga_schönberger, lorenz adolf, (1768-1846)","artuk_schönberger, lorenz adolf, (1768-1847)","(8114, 18062)",2,
1711,93,"[segna di buonaventure]","[1298, 1331]","[segna di bonaventura]","[1321, 1331]",1,"wga_segna di buonaventure, (1298-1331)","artuk_segna di bonaventura, (d.1331)","(8124, 18175)",9,
1712,100,"[seiter, daniel]","[1647, 1705]","[seiter, daniel]","[1649, 1705]",1,"wga_seiter, daniel, (1647-1705)","artuk_seiter, daniel, (1649-1705)","(8126, 18181)",10,
1713,100,"[sellaer, vincent]","[1538, 1544]","[sellaer, vincent]","[1500, 1589]",1,"wga_sellaer, vincent, (1538-1544)","artuk_sellaer, vincent, (1500-1589)","(8127, 18191)",9,
