,score,names_wiki+googleart+wga+meisterwerke+moma+artuk,dates_wiki+googleart+wga+meisterwerke+moma+artuk,names_rijks,dates_rijks,is_same,artist_id_wiki+googleart+wga+meisterwerke+moma+artuk,artist_id_rijks,idx,total_works_count,year_diff
704,100,"[collier, edwart, collier, evert, collier, edwaert]","[1640, 1710]","[collier, edwaert, edwaert collier]","[1662.0, 1662.0]",1,"wga_collier, edwart, (1640-1710)",rijks_rjgd-edwaert-collier,"(6115, 1199)",26,"[22.0, 48.0]"
705,100,"[colonna, angelo michele]","[1604, 1687]","[angelo michele colonna, colonna, angelo michele]","[1665.0, 1665.0]",1,"wga_colonna, angelo michele, (1604-1687)",rijks_rjgd-angelo-michele-colonna,"(6119, 288)",8,"[61.0, 22.0]"
706,100,"[compe, jan ten]","[1713, 1761]","[compe, jan ten, jan ten compe]","[1702, 1761]",1,"wga_compe, jan ten, (1713-1761)",rijks_rjgd-jan-ten-compe,"(6122, 2791)",5,"[11, 0]"
383,100,"[adriaen coorte, coorte, adriaen]","[1660, 1707]","[adriaen coorte, coorte, adriaen]","[1665, 1710]",1,"wga_coorte, adriaen, (1683-1707)",rijks_rjgd-adriaen-coorte,"(3461, 129)",22,"[5, 3]"
207,100,"[jacob cornelisz van oostsanen, cornelisz. van oostsanen, jacob, jacob cornelisz. van amsterdam, cornelisz van oostsanen, jacob]","[1470, 1533]","[cornelisz van oostsanen, jacob, jacob cornelisz van oostsanen]","[1475, 1533]",1,"wga_cornelisz van oostsanen, jacob, (1472-1533)",rijks_rjgd-jacob-cornelisz-van-oostsanen,"(2773, 2361)",285,"[5, 0]"
707,100,"[cornet, jacobus ludovicus]","[1815, 1882]","[cornet, jacobus ludovicus, jacobus ludovicus cornet]","[1808, 1882]",1,"wga_cornet, jacobus ludovicus, (1815-1882)",rijks_rjgd-jacobus-ludovicus-cornet,"(6140, 2489)",69,"[7, 0]"
17,100,"[camille corot, corot, jean-baptiste camille, corot, jean-baptiste-camille, jean-baptiste-camille corot]","[1796, 1875]","[camille corot, corot, camille]","[1707, 1875]",1,"wga_corot, jean-baptiste camille, (1796-1875)",rijks_rjgd-camille-corot,"(303, 625)",860,"[89, 0]"
708,100,"[cort, cornelis]","[1536, 1578]","[cornelis cort, cort, cornelis]","[1533, 1578]",1,"wga_cort, cornelis, (1536-1578)",rijks_rjgd-cornelis-cort,"(6142, 873)",360,"[3, 0]"
709,100,"[cotelle, jean ii]","[1642, 1708]","[cotelle, jean (ii), jean cotelle (ii)]","[1604, 1709]",1,"wga_cotelle, jean ii, (1642-1708)",rijks_rjgd-jean-cotelle-(ii),"(6151, 2931)",6,"[38, 1]"
519,100,"[colijn de coter, coter, colijn de]","[1446, 1540]","[colijn de coter, coter, colijn de]","[1455, 1532]",1,"wga_coter, colijn de, (1446-1538)",rijks_rjgd-colijn-de-coter,"(4044, 832)",8,"[9, 8]"
1942,89,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist rr],"[1500.0, 1500.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-rr,"(4013, 6167)",4,"[20.0, 53.0]"
1911,89,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist bm],"[1480.0, 1490.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-bm,"(3912, 6167)",4,"[0.0, 63.0]"
1924,89,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist ho],"[1500.0, 1500.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-ho,"(3950, 6167)",3,"[20.0, 53.0]"
1940,89,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist mz],"[1500.0, 1503.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-mz,"(3997, 6167)",20,"[20.0, 50.0]"
1926,89,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist ia],"[1480.0, 1480.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-ia,"(3954, 6167)",3,"[0.0, 73.0]"
1935,89,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist mt],"[1540.0, 1543.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-mt,"(3996, 6167)",7,"[60.0, 10.0]"
1922,89,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist he],"[1529.0, 1529.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-he,"(3941, 6167)",4,"[49.0, 24.0]"
1927,90,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist ic],"[1550.0, 1550.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-ic,"(3957, 6167)",3,"[70.0, 3.0]"
1929,89,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist ie],"[1480.0, 1480.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-ie,"(3958, 6167)",3,"[0.0, 73.0]"
1916,90,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist fg],"[1530.0, 1537.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-fg,"(3930, 6167)",15,"[50.0, 16.0]"
712,100,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]","[crabbe van espleghem, frans, frans crabbe van espleghem]","[1480, 1552]",1,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-frans-crabbe-van-espleghem,"(6167, 1391)",13,"[0, 1]"
1946,92,"[crabbe, frans, monogrammist f c, minnebroer, frans, crabbe van espleghem, frans, espleghem, frans van, meister mit dem krebs]","[1480, 1553]",[monogrammist w],"[1528.0, 1528.0]",0,"wga_crabbe, frans, (1480-1553)",rijks_rjgd-monogrammist-w,"(4021, 6167)",3,"[48.0, 25.0]"
