,"score","names_wga","dates_wga","names_artuk","dates_artuk","is_same","artist_id_wga","artist_id_artuk",
113,93,"[maris, jacobus hendricus]","[1837, 1899]","[maris, jacob henricus]","[1837, 1899]",1,"maris, jacobus hendricus, (1837-1899)","maris, jacob henricus, (1837-1899)",
99,93,"[lampi, johann baptist i]","[1751, 1830]","[lampi i, johann battista]","[1751, 1830]",1,"lampi, johann baptist i, (1751-1830)","lampi i, johann battista, (1751-1830)",
106,93,"[loutherbourg, philip jacques de]","[1740, 1812]","[de loutherbourg, philip james]","[1740, 1812]",1,"loutherbourg, philip jacques de, (1740-1812)","de loutherbourg, philip james, (1740-1812)",
127,93,"[nieulandt, willem van, the younger]","[1584, 1635]","[van nieulandt ii, willem]","[1584, 1635]",1,"nieulandt, willem van, the younger, (1584-1635)","van nieulandt ii, willem, (1584-1635)",
159,93,"[saint-aubin, gabriel de]","[1724, 1780]","[saint-aubin, gabriel-jacques]","[1724, 1780]",1,"saint-aubin, gabriel de, (1724-1780)","saint-aubin, gabriel-jacques, (1724-1780)",
207,93,"[zuccaro, taddeo]","[1529, 1566]","[zuccari, taddeo]","[1529, 1566]",1,"zuccaro, taddeo, (1529-1566)","zuccari, taddeo, (1529-1566)",
47,93,"[flémal, bertholet]","[1614, 1675]","[flemal, betholet]","[1614, 1675]",1,"flémal, bertholet, (1614-1675)","flemal, betholet, (1614-1675)",
3,93,"[angellis, pieter]","[1685, 1734]","[angelis, peter]","[1685, 1734]",1,"angellis, pieter, (1685-1734)","angelis, peter, (1685-1734)",
76,94,"[herring, benjamin jr.]","[1830, 1871]","[herring i, benjamin]","[1806, 1830]",0,"herring, benjamin jr., (1830-1871)","herring i, benjamin, (1806-1830)",
78,94,"[hobbema, meyndert]","[1638, 1709]","[hobbema, meindert]","[1638, 1709]",1,"hobbema, meyndert, (1638-1709)","hobbema, meindert, (1638-1709)",
185,94,"[tsafouris, nikolaos]","[1490.0, 1500.0]","[tzafouris, nikolaos]","[1487, 1501]",1,"tsafouris, nikolaos, (1501-1501)","tzafouris, nikolaos, (1487-1501)",
175,94,"[stefano da zevio]","[1375, 1451]","[stefano di zevio]","[1375, 1451]",1,"stefano da zevio, (1375-1451)","stefano di zevio, (1375-1451)",
40,94,"[duyfhuijsen, pieter jacobsz.]","[1608, 1677]","[duyfhuysen, pieter jacobsz.]","[1608, 1677]",1,"duyfhuijsen, pieter jacobsz., (1608-1677)","duyfhuysen, pieter jacobsz., (1608-1677)",
18,94,"[boudewijns, adriaen frans]","[1644, 1711]","[boudewyns, adriaen frans]","[1644, 1711]",1,"boudewijns, adriaen frans, (1644-1711)","boudewyns, adriaen frans, (1644-1711)",
110,94,"[mander, karel van, the elder]","[1548, 1606]","[van mander i, karel]","[1548, 1606]",1,"mander, karel van, the elder, (1548-1606)","van mander i, karel, (1548-1606)",
105,94,"[loth, johann karl]","[1632, 1698]","[loth, johann carl]","[1632, 1698]",1,"loth, johann karl, (1632-1698)","loth, johann carl, (1632-1698)",
104,94,"[lorme, anthonie de]","[1610, 1673]","[de delorme, anthonie]","[1610, 1673]",1,"lorme, anthonie de, (1610-1673)","de delorme, anthonie, (1610-1673)",
165,94,"[schut, cornelis iii]","[1629, 1685]","[schut, cornelis i]","[1597, 1655]",0,"schut, cornelis iii, (1629-1685)","schut, cornelis i, (1597-1655)",
90,94,"[koninck, daniël de]","[1668, 1720]","[de konink, daniel]","[1668, 1720]",1,"koninck, daniël de, (1668-1720)","de konink, daniel, (1668-1720)",
25,94,"[carracci, lodovico]","[1555, 1619]","[carracci, ludovico]","[1555, 1619]",1,"carracci, lodovico, (1555-1619)","carracci, ludovico, (1555-1619)",
167,94,"[seisenegger, jacob]","[1504, 1567]","[seisenegger, jakob]","[1504, 1567]",1,"seisenegger, jacob, (1504-1567)","seisenegger, jakob, (1504-1567)",
118,94,"[mazzolino, ludovico]","[1480, 1528]","[mazzolino, lodovico]","[1480, 1530]",1,"mazzolino, ludovico, (1480-1528)","mazzolino, lodovico, (1480-1530)",
11,94,"[beinaschi, giovan battista]","[1636, 1688]","[benaschi, giovanni battista]","[1636, 1688]",1,"beinaschi, giovan battista, (1636-1688)","benaschi, giovanni battista, (1636-1688)",
95,94,"[la hire, laurent de]","[1606, 1656]","[de la hyre, laurent]","[1606, 1656]",1,"la hire, laurent de, (1606-1656)","de la hyre, laurent, (1606-1656)",
146,94,"[ragueneau, abraham]","[1623, 1681]","[raguineau, abraham]","[1623, 1681]",1,"ragueneau, abraham, (1623-1681)","raguineau, abraham, (1623-1681)",
156,94,"[royen, willem frederik van]","[1645, 1723]","[van royen, wilhelm frederik]","[1645, 1723]",1,"royen, willem frederik van, (1645-1723)","van royen, wilhelm frederik, (1645-1723)",
48,94,"[fragiacomo, pietro]","[1856, 1922]","[fragiocomo, pietro]","[1856, 1922]",1,"fragiacomo, pietro, (1856-1922)","fragiocomo, pietro, (1856-1922)",
67,94,"[grebber, frans pietersz. de]","[1573, 1649]","[de grebber, pieter fransz.]","[1600, 1653]",0,"grebber, frans pietersz. de, (1573-1649)","de grebber, pieter fransz., (1600-1653)",
2,94,"[alsloot, denis van]","[1570, 1626]","[van alsloot, denys]","[1610.0, 1615.0]",0,"alsloot, denis van, (1570-1626)","van alsloot, denys",
183,94,"[tol, domenicus van]","[1635, 1676]","[van tol, dominicus]","[1635, 1676]",1,"tol, domenicus van, (1635-1676)","van tol, dominicus, (1635-1676)",
73,94,"[herp, willem van, the elder]","[1614, 1677]","[van herp i, willem]","[1614, 1677]",1,"herp, willem van, the elder, (1614-1677)","van herp i, willem, (1614-1677)",
52,94,"[franchoys, pieter]","[1606, 1654]","[franchoys, peeter]","[1606, 1654]",1,"franchoys, pieter, (1606-1654)","franchoys, peeter, (1606-1654)",
122,95,"[mészöly, géza]","[1844, 1887]","[meszöly, géza]","[1844, 1887]",1,"mészöly, géza, (1844-1887)","meszöly, géza, (1844-1887)",
142,95,"[pluym, karel van der]","[1625, 1672]","[van der pluym, carel]","[1625, 1672]",1,"pluym, karel van der, (1625-1672)","van der pluym, carel, (1625-1672)",
190,95,"[velde, willem van de, the elder]","[1611, 1693]","[van de velde i, willem]","[1611, 1693]",1,"velde, willem van de, the elder, (1611-1693)","van de velde i, willem, (1611-1693)",
148,95,"[recco, giovan battista]","[1615, 1660]","[recco, giovanni battista]","[1615, 1660]",1,"recco, giovan battista, (1615-1660)","recco, giovanni battista, (1615-1660)",
137,95,"[passerotti, bartolomeo]","[1529, 1592]","[passarotti, bartolomeo]","[1529, 1592]",1,"passerotti, bartolomeo, (1529-1592)","passarotti, bartolomeo, (1529-1592)",
202,95,"[voet, jacob ferdinand]","[1639, 1700]","[voet, jakob ferdinand]","[1639, 1700]",1,"voet, jacob ferdinand, (1639-1700)","voet, jakob ferdinand, (1639-1700)",
22,95,"[cabel, adriaan van der]","[1630, 1705]","[van der cabel, adriaen]","[1631, 1705]",1,"cabel, adriaan van der, (1630-1705)","van der cabel, adriaen, (1631-1705)",
